question,answer,cat,sub_cat
Why am I getting the error message 680?,"Please check the following,1. Verify modem is connected to the phone line with fax modem cable,2. Verify that the phone line is not disconnected,3. Check the dialler is not set to a different modem,4. Make sure that no other programs are using your modem eg. Fax software, Supervoice, etc.,5. Try uninstalling & reinstalling the modem drivers",internet,internet_dial_up
Why am I getting the error message 630 or 633?,"Please check the following,1. Verify that the modem drivers are installed,2. Check the dialler is not set to a different modem,3. Click on Start - Settings - Control Panel and double-click on Modem, select Properties, click on Modem Com port - Diagnostics then click on 'More Info'. If this indicates that there is no communication between your modem and your computer it is suggested that you reinstall the modem drivers or contact the modem vendor.,4. Try uninstalling & reinstalling the modem drivers,5. Also try reinstalling the dialup Adapter",internet,internet_dial_up
Why am I getting the error message 650 or 691?,"Please check the following,1. Verify that you are typing the correct username and password,2. If this is Windows NT, make sure there is nothing in the Domain field,3. Verify that ""logon to the network"" is not checked in the dialler properties",internet,internet_dial_up
Why am I not able to browse?,"Make sure you are connected to the internet and that you have the correct proxy settings configured in the browser as follows: Manual proxy configuration: HTTP proxy:- http://proxy1.emirates.net.ae Port: 8080 OR,Automatic proxy configuration:,http://proxy.emirates.net.ae/proxy.pac",internet,internet_dial_up
Why am I not able to view Arabic pages?,"For Mozilla Firefox users,It supports all character sets - ISO, Windows Arabic and Unicode - it selects an Arabic font automatically, and also avoids the ""period line mangling"" bugs that all other browsers suffer from. However if you are facing a problem with that please visit http://preferential.mozdev.org for more information.,For Internet Explorer 5.0,Click on View - Encoding and select Arabic(Windows). If this does not work and if Internet Explorer is downloaded from the internet or installed from the CD (other then the operating system CD) try updating the Arabic text support as follows:,1. Click on Start - Settings - Control panel,2. Double-click on Add/Remove programs,3. Highlight Internet Explorer, click on OK and select Add Components,4. From Multilanguage Support select Arabic text support.",internet,internet_dial_up
Why do I see a blank page & it says 'Document Done'?,"Please check the following,1. Clear the cache memory In Internet Explorer go to Tools Internet Options, click on Delete Temporary Files, then click OK,2. Try configuring Manual proxy if Automatic proxy is configured or vice-versa",internet,internet_dial_up
How do I change my email password online?,"You can easily change your password through the web. To change your Password online:,1) Log on to www.etisalat.ae/mymail using your user name and password.,2) Click on Profile,3) Select Password at the top center of the screen.,4) Now you have three fields, all of which must be filled in: - Enter your old password: - Enter your new password: - Confirm your new password:,5) Click Change Password to confirm new password, or Reset to retain old password. Note: please make sure that you fulfil the following requirements:,1. The new password MUST differ from the old password in as many characters as possible.,2. Contains EIGHT alpha-numeric characters EXACTLY.,3. Consists of letters and numbers ONLY, and should contain AT LEAST two numbers.,4. Different from the USER ID.",internet,internet_email
Is it possible to keep my sent messages?,"Yes it is possible to keep your sent messages in any folder using the following steps:,1) Log on to www.etisalat.ae/mymail with your user name and password.,2) Click on Profile.,3) Select Setting at the top right side of the screen.,4) Mark the Sent Messages option and choose from the drop down menu the folder you wish to save your sent messages in.,5) Click on Save changes to finish the process.",internet,internet_email
How do I customize the appearance of my email account?,"To customize the appearance of your web mail you need to follow the steps below:,1) Log on to www.etisalat.ae/mymail with your user name and password.,2) Click on Profile.,3) Select Appearance at the top right side of the screen.,4) Use the form to modify the look of your Web Mail. - Display Font : You can customize the font face and font size used in messages. Choose what you want from the drop-down lists. - Message List View :You can set the number of messages to show per page, and you can sort the messages in ascending or descending order.,5) Click on Save changes to finish the process.",internet,internet_email
Can I update my Personal Information?,"Yes you can update your personal information by following the steps below:,1) Log on to www.etisalat.ae/mymail using your user name and password.,2) Click on Profile.,3) Select Personal Information at the top.,4) Use the form to change your personal information.,5) Click on Save Changes at the bottom to finish the process .",internet,internet_email
How can I view my account summary?,"You can view your account summary including your Email addresses, name and how much quota you have used by following the steps below:,1) Log on to www.etisalat.ae/mymail using your user name and password.,2) Click on Profile on your left .,3) Then select Account summary at the top left side of the screen",internet,internet_email
Can I check my email while I am overseas?,"Yes you can check your email by visiting the EIM Web Mail homepage at www.etisalat.ae/mymail then type your User ID and Email Password to log on.,Make sure you disable the UAE proxy settings in your browser when you try to check your email.",internet,internet_email
"Why am I getting ""Check your password and try again""?","You may get this message due to different reasons:,1) You may be typing a wrong password. In this case, check your password again and make sure that you are using the correct letter case as the password field is case sensitive. Also note that Iif you have changed your Internet access password from the EIM homepage, this will not change your email password you still need to change it separately.,2) Check the configuration of the email client that you are using and make sure that your account (username) is correct.,3) Check your due bills, your account may be suspended due to non-payment. 4) You may have not accessed your email account for more than 4 months and consequently your account has been de-activated. You can re-activate your account by visiting www.ecompany.ae/mail/reactivate.",internet,internet_email
How can I send messages to more than one person? ,,internet,internet_email
Why am I getting same messages downloaded every time?,"If you are using the POP3 protocol to retrieve your messages and you have the option 'keep messages on server' set to ON and then you used a different email client or PC to check your email then you will have the same messages downloaded again. Another reason is that there may be a corrupted email in the mailbox which keeps downloading each time you access your email box. To remove this email, log on to our EIM web mail interface at http://www.etisalat.ae/mymail and delete the corrupted message. To avoid this problem please change the settings for your email client option 'keep messages on server' to OFF.",internet,internet_email
"Why am I getting an E-mail with the subject line ""EIM removed a virus(es) from this message, it is safe to check the message/attachment(s)""? ","Email messages can not contain viruses. However, files that are attached to messages can contain viruses. EIM Mail Service provides free scanning of attachments to all subscribers who get incoming email through the web interface as well as to those who use POP3 through an E-mail client.,When you receive a message with a subject line that reads ""EIM removed a virus(es) from this message, it is safe to check the message/attachment(s)"" it means that the originator of that E-mail is infected with a virus and the attachment that was sent was effectively a virus. However, with EIM's Anti Virus Service in place it will automatically check the attachment for any known viruses.,If no viruses are found, the file will be downloaded as is. In case an attachment(s) is contaminated by a virus, the EIM Mail Anti Virus Service will remove the virus-contaminated attachment and replace it with a virus-free alert attachment explaining the name of the virus as well as any action(s) taken by the service. The original subject of the message will be modified to alert the recipient that a virus(es) was removed. The new subject line of the message will then look like this: ""EIM removed a virus(es) from this message, it is safe to check the message/attachment(s): "" and then the original subject is appended. This alert message is only sent to your email account if you opt to receive it. By default, this alert message is not sent to your EIM Mail account."",To provide the most comprehensive protection, viruses will be removed rather than simply cleaned. This is because when a virus is contained in an attachment, it may alter the information in the document before it can reach the anti virus software. This, in turn, can alter the files contents and result in the recipient receiving inaccurate, misleading information without being aware it has been corrupted.,EIM Mail subscribers have the option of disabling the anti virus service should they wish to do so, although this is not recommended by",internet,internet_email
What is Spam?,,internet,internet_email
How bad is the Spam problem worldwide?,,internet,internet_email
Why is Spam annoying?,"Email users consider Spam annoying because:,Users did not ask for these type of emails.,Users find their email boxes full with email that do not concern them which leads them to spend time and money dealing with such issues.,Email users spend more time on the Internet to download emails that are meaningless to them which costs them stress, time and money.,Spam usually contains offensive material.",internet,internet_email
What is considered a Spam activity by EIM?,"According to Etisalat, Acceptable Use Policy, the following activities are identified as spamming activities:,To send unsolicited mass e-mailing (Spamming or bulk junk e-mail) to Internet users be it on EIM email or any other Internet service provider.,To post private e-mail message to any newsgroup, forum or mailing list without the explicit approval of that entity.,To post or send e-mail to any person who does not wish to receive it, if a recipient asks to stop receiving e-mail. Accordingly, obtaining the business card or the email address of a customer does not give the automatic right to send spam emails. The customer needs to agree to receive promotional emails in writing for such messages for it not to be considered a spam. In such a case, your spam email need to have a facility to remove the customer from the list should he/she opt to be removed. However, if you are the email administrator of an email domain hosted with EIM, e.g. yourcompany.ae, you have the right to send all type of emails to your domain email accounts about your products and services",internet,internet_email
What is EIM doing to protect me from Spam?,,internet,internet_email
What can Etisalat do against spammers?,"Etisalat has strict policy against spamming. Etisalat email users who spam other users inside or outside the UAE, risk losing their internet connection. All Etisalat email users signed the Etisalat Acceptable Use Policy which clearly defines spam and the list actions that can be taken against spammers. The policy is outlined below: Etisalt Acceptable Use Policy The following guidelines are designed to protect the interests of Etisalat's service and our customers. Violation of these guidelines may result in suspension or termination of Etisalat services.,Emirates Telecommunications Corporation also reserves the right to institute legal action in case of such violations. All Etisalat customers shall abstain from and shall not participate to assist or contribute to all or any of the following prohibited activities:,To post any advertisement or commercial solicitations to any newsgroup, e-mail mailing list or Forum.,To post articles to newsgroup without compliance with the written charter for those newsgroups. To post any copyright material to any newsgroup, forum or mailing list without the explicit permission of the copyright holder. Forging of header information or to impersonate another user or falsify user information (e.g. using fake or incomplete names) in e-mail or any post to any newsgroup, forum or mailing list. To send unsolicited mass e-mailing (Spamming or bulk junk e-mail) to Internet users be it on Etisalat or any other Internet service provider.,To post private e-mail message to any newsgroup, forum or mailing list without the explicit approval of that entity. To post or send e-mail to any person who does not wish to receive it, if a recipient asks to stop receiving e-mail.,To engage in any of the foregoing activities using the service of another provider, but channeling such activities through Etisalat account as a mail drop for responses.",internet,internet_email
Can I report a Spam to Etisalat?,"Of course. You need to send to abuse@eim.ae all the details of the spam email message. Most of these details are hidden by email programs. However, you are usually given the option of displaying them. Many email programs have a menu or toolbar option that you can access in order to ""display headers"" in an email. This is the process of identifying who sent the message with,Outlook Express: Open the message by clicking on it. Click on the File menu, and select Properties Click on the Details tab in the dialog box that appears. Click on the Message Source button. the process of identifying who sent the message with,Netscape mail: Open the message by clicking on it. Click on the View menu, and select Message Soruce. This will display all the headers and the text of the email message. To make a copy of the headers and message: Click the right mouse button on the text of the headers. Select ""Select All"" from the pop-up menu. The text will then be ""marked"".,Click the right mouse button again, and this time choose ""Copy"". A copy of the message and headers is then saved in memory. Close the dialog box. To paste the headers into an email message, compose your message in the normal way. Then click the right mouse button in the text area of your message, and select all Paste all. Now, send it to buse@eim.ae with Subject : Spam complaint. Etisalat will take care of your complaint.",internet,internet_email
From where do spammers get my email address?,"Etisalat does not sell or otherwise disclose its users email addresses to third parties.,Spammers use a number of techniques to collect email addresses: One of the most popular sources of email addresses is Usenet (Internet news) newsgroups. This is because your email address is automatically included in your message.,Your email address on your web site.,Use of spambot which is a program designed to collect, or harvest, e-mail addresses from the Internet in order to build mailing lists for sending unsolicited e-mail. A spambot can gather e-mail addresses from Web sites, newsgroups, special-interest group (SIG) postings, and chat-room conversations.,Online competition that requires you to submit your email details. Chat services that require your email address. Spammers have been known to make up email addresses. From a purely statistical viewpoint, if you generate millions of random email addresses, you are likely to create a percentage of valid ones.",internet,internet_email
How can I minimize receiving Spam on my Etisalat email account?,"There are a number of strategies users can adopt to avoid or minimise spam.,Keep your email address private especially the one on your business cards.,Do not send your real email address to any newsgroup or mailing list.,Always check the privacy act before submitting your real email address.,Never reply to spam messages because this will confirm that your email address is real.,Unless it is a mailing list you have subscribed to DO NOT click any unsubscribe links within the email.,When you publish your email address on your web site, use a form that allows users to submit email messages via your web site.",internet,internet_email
Where can I get 3rd party software to protect me from Spam?,"These are programs which are provided by 3rd party suppliers. Etisalat does not offer any technical support for these suppliers, See the list of resources below:,Internet Industry Association - National Spam Initiative (Includes free anti spam trial vendors) http://www.iia.net.au/nospam/,MailTalkX - http://www.softbytelabs.com/,MailWasher - http://www.mailwasher.net/,SpamKiller - http://www.spamkiller.com/,SpamBuster - http://www.contactplus.com/products/spam/spam.html,SpammerSlammer - http://www.spammerslammer.com/",internet,internet_email
"How can I access the contents of my ""Spam"" folder?",,internet,internet_email
When does my FREE Etisalat Internet Mail account become deactive?,,internet,internet_email
Why are some messages deleted from my email account?,,internet,internet_email
"I have re-activated my email account, what would my new email password be?",,internet,internet_email
"What is POP3, IMAP & SMTP Server?","POP3 (Post Office Protocol 3) is a standard protocol for receiving e-mails. POP3 is a client/server protocol in which e-mail is received and held for you by the Internet server. Periodically, you (or your client e-mail receiver) check your mail-box on the server and download any mail.,An alternative protocol is Internet Message Access Protocol (IMAP). With IMAP, you view your e-mail at the server as though it was on your client computer. An e-mail message deleted locally is still on the server. E-mail can be kept on and searched at the server. POP can be thought of as a ""store-and-forward"" service. IMAP can be thought of as a remote file server.,POP and IMAP deal with the receiving of e-mail and are not to be confused with the Simple Mail Transfer Protocol (SMTP), a protocol for transferring e-mail across the Internet. You send e-mail with SMTP and a mail handler receives it on your recipient's behalf.,Then the mail is read using POP or IMAP",internet,internet_email
What is my email password?,,internet,internet_email
How can I change my email address?,,internet,internet_email
Why am I able to send but can not receive emails? ,"1) Verify that you are entering the correct email password, and that the email client is configured as follows:,Incoming Mail server: mail.emirates.net.ae,User ID: username,2) Check your email forwarding settings from within the web mail interface and make sure that forwarding is not configured. c) Check your email storage quota, if it is completely used then try to free some space by deleting some of the emails stored, or apply for an upgrade to your email storage quota.",internet,internet_email
Why am I able to receive but can not send emails?,"1) Make sure of writing your full email address in lowercase letters in the email address field, and that your email client is configured as follows:,Outgoing Mail server: mail.emirates.net.ae,2) Make sure you are sending to a valid email address, any mistake in typing the address can cause this problem",internet,internet_email
Can I configure more than one Email A/C in OutlookExpress?,"Yes, please follow the following:,1) Open Outlook Express, click on Tools - Accounts and select Mail,2) Click on ADD button and choose the Mail option,3) Follow the instructions to configure the new email account,Incoming Mail server: mail.emirates.net.ae,Outgoing Mail server: mail.emirates.net.ae User ID: username",internet,internet_email
Can I get more than one email address?,,internet,internet_email
"I have deleted all the emails from Outlook Express, Still I am getting emails saying 'Low quota warning' What shall I do?",,internet,internet_email
"What is the use of ""External Mail Option""? Can I get my hotmail emails by using this?",,internet,internet_email
Can I import my address book from my outlook express? ,,internet,internet_email
Is my address book size inclusive of my mailbox size?,,internet,internet_email
I like to check the emails by using outlook express. But before downloading it I want to keep a copy of the mail on the server. How do I do that?,"You have two options: 1) Using POP3 you can configure your email client to ""leave messages on server"". Or,2) Using IMAP you can view your messages directly on the server without the need for downloading them.",internet,internet_email
What is the email Alias Service?,,internet,internet_email
Experiencing Web mail compatibility issues with your browser?,"
							,, to access with your existing credential, your email via a different portal, compatible with your browser., Your address book will be automatically copied within 24 hours after your first log-in.",internet,internet_email
Who should buy the Wasel Premium Number?,Anyone who is interested in getting a special number without any commitment or monthly rental should buy this plan,mobilenew,mobile_prepaid
What are the benefits with Wasel Premium Number?,"With a one-time fee of AED 1,000 you get:
,
- Choice of your own Special Premium Number
,
- Free 3GB data every month for 6 months
,
- Free Wasel Prepaid Line,*Note: 5% VAT Excluded",mobilenew,mobile_prepaid
How can I get a Wasel Premium Number?,You can visit select Etisalat outlets to choose and buy your own Wasel Special Number.,mobilenew,mobile_prepaid
Can I carry forward the unused data from 3GB data pack?,"No, the free 3GB data is only valid for 30 days from the date of credit. It will be renewed every 30 days until the 6th month, however, any unused data for the month will expire.",mobilenew,mobile_prepaid
What happens after the 6 months free data benefit period is over?,"In order to continue enjoying mobile data on your line, you need to subscribe to one of the ",mobilenew,mobile_prepaid
What happens if I decide to transfer the ownership of my line?,"In case you transfer the ownership of your line, the free 3GB data benefit will be discontinued.",mobilenew,mobile_prepaid
Is my line with Wasel Special Premium Number valid for a lifetime?,"As long as you keep making calls or sending messages, your line has lifetime validity. In case you do not use your line for 3 consecutive months, then you would be charged AED 10 per quarter (once in 3 months) to remain in lifetime validity. In case you do not have 10 AED balance, your line will be moved to a time-based validity, in which you would have another 6 months to start using your line.,If no usage is observed during this 6-month period, service will be temporarily withdrawn for a period of 3 months, and subsequently deactivated.",mobilenew,mobile_prepaid
What is WASEL?,"You can rely on instant connectivity on the go, unrivalled network coverage, more value for money and complete control over your spending with Wasel Prepaid line.,Get full control of your spending:
,
• All local and international calls are charged on a per second pulse
,
• Feel secure with Prepaid Line lifetime validity
,
• Enjoy instant connectivity with the fastest and widest network coverage",mobilenew,mobile_prepaid
Can WASEL Customers dial emergency numbers? Is there a charge for this?,"WASEL customers can dial emergency numbers 998, 999 and 997 and obtain prompt assistance. No charge is applicable for calls made to these numbers.",mobilenew,mobile_prepaid
How long I can keep my prepaid number if I don’t use the line?,"• To keep your free Lifetime Validity, simply continue using your line by recharging, making and receiving calls, or even sending SMS.
,
• In case you stop using your line, then it will be retained for 12 months. During this period you can revive your LifeTime Validity again by making any recharge or call, as per the following ,.",mobilenew,mobile_prepaid
Does WASEL have an International Roaming Facility?,"Yes, Wasel International Roaming Services allows users to receive incoming calls and make outgoing calls while they are roaming internationally. For details related to tariffs and offers ",mobilenew,mobile_prepaid
Do we need to recharge our WASEL subscription before leaving the country?,Yes. We recommend that your WASEL subscription is recharged prior to leaving the country and sufficient credit is available in your account to ensure that you receive incoming calls while roaming,mobilenew,mobile_prepaid
How can we recharge our WASEL subscription while roaming from abroad?,You can use any standard telephone in the country where you are roaming to recharge your WASEL subscription. Simply dial +9714004120. You will be prompted to enter your WASEL number and the Etisalat Prepaid Card Number,mobilenew,mobile_prepaid
How can we check the available balance on our WASEL Service from abroad?,You can check the available credit balance on your WASEL Service by simply dialing +9714004121 from any standard telephone available in the country where you are roaming and following the voice instructions.,mobilenew,mobile_prepaid
Are the numbers +009714004120 and +009714004121 chargeable? ,Yes. Both these numbers are charged as per IDD rates.,mobilenew,mobile_prepaid
Can WASEL customers receive incoming calls while roaming internationally?,Yes.,mobilenew,mobile_prepaid
Can WASEL customers make outgoing calls while roaming internationally?,No. Currently this facility is not available.,mobilenew,mobile_prepaid
Are there any charges for subscription to WASEL International Roaming Service? ,"WASEL International Roaming Service has no deposit, connection, quarterly rental or activation charges. When you receive a call while roaming, your caller (from UAE/elsewhere) will pay the call charges for a call to the Etisalat Network and the user pays charges for the international rerouting of the call from the UAE to the country where you receive the call. An extra roaming surcharge is also applicable by that country and this could vary from 10% to 25%. Incoming Roaming Call Charges are as per the existing charges for normal GSM Roaming.",mobilenew,mobile_prepaid
Can WASEL subscribers receive SMS messages while roaming? ,Yes. WASEL subscribers can receive SMS Text Messages FREE while roaming.,mobilenew,mobile_prepaid
What is the New Wasel Plan and who is eligible for it? ,"The New Wasel Plan is a prepaid mobile package from Etisalat.,Prepaid lines activated after the 12th of November 2012 will be automatically activated onto this tariff plan, while existing customers would have to opt for it.",mobilenew,mobile_prepaid
How different is the New Wasel from the earlier Wasel plan? ,"Calls made under New Wasel are charged on a ""per second"" basis; under the Wasel plan, calls are charged on a ""per minute"" basis. Therefore, if you are on the New Wasel plan, all your calls are charged to the exact second you talk for and not rounded off to the nearest minute. Moreover, international calls during off-peak hours made to a preferred country of your choice are charged at a discounted rate.",mobilenew,mobile_prepaid
Is the New Wasel a temporary offer? ,No. The New Wasel is a permanent plan,mobilenew,mobile_prepaid
Are there any registration/subscription charges associated with this tariff plan? ,"No, there are no registration/subscription charges associated with this tariff plan.",mobilenew,mobile_prepaid
How do I migrate to another plan? ,"You can migrate to any of Etisalat's available plans by following the subscription process specific to that tariff plan.,Upon subscription to another tariff plan, the system will automatically cancel your subscription to the New Wasel.",mobilenew,mobile_prepaid
I have purchased a New Wasel connection. Can I still subscribe to this plan? ,All prepaid lines activated after the 12th of November 2012 will be automatically activated onto the New Wasel plan.,mobilenew,mobile_prepaid
What is the Visitor Line and who can benefit from it? ,"Visitor Line is a new prepaid pack from Etisalat, exclusively designed for the visitors travelling to the UAE. Whether you are on a business trip or a tourist or a job seeker or just visiting family, the Visitor Line gets you connected immediately with a rich pack selection of your choice. You can enjoy benefits that suit your needs from:,- Data+ Wi-Fi pack (recommended for visitors on business),- Voice & SMS pack (recommended for family/leisure visitors),- Data, Voice, SMS pack (for the leisure/business visitor)",mobilenew,mobile_prepaid
What are the benefits of the Visitor Line and how much do I pay? ,"For just AED 100; about 27 US$, you can instantly connect with your friends and family back home during your stay with the choice of ONE of the suitable packs, which needs to be SELECTED AT TIME OF PURCHASING THE LINE. Each pack is valid for 14 days from the date of activating them.,The SIM card will be valid for 90 days and the validity can be extended for an additional period of 90 days for just AED 10.",mobilenew,mobile_prepaid
What happens after 14 days? Can I recharge and use my Visitor Line?,"Visitor pack is available at all Etisalat outlets. The pack is also available at all Airport arrivals, spanning Etisalat outlets & Duty free shops across Abu Dhabi, Dubai and Sharjah. The pack is also available in Etisalat business centres & outlets in malls.,To know the current balance of your pack, SMS VBB to 1012 or use the Etisalat Mobile App. Or you can simply recharge and use your Visitor Line.
,
You can recharge your Visitor Line using any of the following methods; which are available across more than 10,000 outlets across the UAE.
,
- Etisalat Mobile App; using your credit card
,
- eRecharge - any denomination; minimum from AED 5
,
- Recharge cards – available in denominations of 25,50,100,200 and 500
,
- eVoucher – available in denominations of 25,50,100,200 and 500
,
- Etisalat payment machines at over 1000 locations
,
To check your prepaid balance - use Etisalat Mobile App or dial *121# or call 121.",mobilenew,mobile_prepaid
What will my rates be if I recharge and use my Visitor Line?,"In case you have opted not to subscribe to any of the packs above and just want to recharge and use your Visitor Line, you will be charged Pay-as-you-go rates,, which are listed below.",mobilenew,mobile_prepaid
Where can I buy the Visitor Line? ,"Visitor Line is available at Etisalat outlets and at all airport arrivals, covering Abu Dhabi, Dubai and Sharjah. It's also available in outlets in malls and other key touristic spots. Some outlets are listed below:",mobilenew,mobile_prepaid
How long can I use my Visitor Line?,You can use the Visitor Line for 90 days from the date of activation. ,mobilenew,mobile_prepaid
"Can I retain my number, if I find a job and become a permanent resident of UAE?","After 30 days from activation, just log onto the Etisalat Mobile App or dial *101# to upgrade to Wasel Prepaid service. You will retain the same number and up to AED 100 of your Visitor Line balance will be transferred. After which, please, visit the nearest Etisalat Business Centre to fulfill your UAE resident registration process, with valid identification documents.",mobilenew,mobile_prepaid
"Can I subscribe to other Etisalat tariff plans, bundles or promotions on Visitor Line?",Visitor Line comes with its own rich set of exclusively designed packs and a hassle-free experience. Stay connected with your friends and family with the all-in-one Visitor Line. Simply choose a suitable pack and enjoy your stay in the UAE.,mobilenew,mobile_prepaid
"9Will I be able to ""Roam"" with Visitor Line?","Yes, you will easily be able to enjoy roaming services. While roaming, the visitor packs will not available. You will need to recharge your line and the standard roaming tariff will apply.",mobilenew,mobile_prepaid
What is Wi-Fi service and how it is different than mobile data?,"Wi-Fi service is provided to access the Internet in certain areas wirelessly. These areas can be indoor or outdoor and are called Wi-Fi hotspots. There are two ways to connect to the Internet wirelessly, one is Wi-Fi, which is considered more economical but with limited coverage (within hotspot only) and the second is through a mobile network. A mobile network has wider coverage for mobile data or Internet connectivity.",mobilenew,mobile_prepaid
Where is Etisalat Wi-Fi service available?,"Etisalat Wi-Fi service is available in major public areas including shopping malls, cafes, restaurants and parks (in process). Just search Etisalat Wi-Fi on your device and if you are in coverage areas you will get the Etisalat Network to login.",mobilenew,mobile_prepaid
How can I manage my Visitor Line or get support? ,"You can conveniently manage your Visitor Line with Etisalat Mobile App:
,
- Check your balance and track your usage
,
- Subscribe instantly to a pack of your choice
,
- Get notifications when you are running out of minutes, data and SMS
,
- Recharge your line
,
- Live chat for support from our agents
,
Etisalat Mobile App works with iOS, Android, BB 10 OS and Windows. Download ""Etisalat UAE"" App now from your app store and enjoy maximized convenience.
,
Or
,
You can visit any of the Etisalat Business Centres or call 101 from your mobile for any help at any time.",mobilenew,mobile_prepaid
What kind of Mobile Data Offers does Etisalat have for its Prepaid customers?,"Etisalat offers all Prepaid Wasel customers the option to purchase one-time data packs, or auto-renewal data plans that give choice & value depending on the need.
,
Offers also include combo packs which include flexi minutes & local data, and other limited period one-time data packs.
,
For complete list of packages, ,.",mobilenew,mobile_prepaid
What are One-time Data Packs?,"One-time Data Packs place convenience before commitment, where you can subscribe multiple times to the same pack, or mix and match different ones, depending on your need. This way, you never run out of Data with the flexible short and long validity options.",mobilenew,mobile_prepaid
What are Auto-renewal Data Plans? ,"Auto-renewal Data Plans offer you peace of mind. No more hassle of re-subscribing to data every day, or month as these plans are automatically renewed at the end of assigned validity. Choose the plan you want and just ensure you have the right balance when it's time to renew and the plan will do the rest.",mobilenew,mobile_prepaid
What’s the ‘Data Bonanza’ on Monthly Data Plus Packs? ,"Etisalat understands your need for more data & is permanently upgrading allowances on all one-time & auto-renewal monthly data packages. Now with ‘Data Bonanza’ you’ll get up to 100% extra social data on Monthly Data Plus Packs.
,
The extra ‘Social Plus ’allowance will cover usage on Facebook, Messenger, WhatsApp , Twitter, WeChat, LinkedIn, Snapchat, Instagram, BOTIM* & C’Me*
,
							,
* Social allowances may be used for messaging, for video and audio calling customer needs to subscribe to Internet Calling Plan (ICP)",mobilenew,mobile_prepaid
How can I activate the Data Packs & Plans? ,"For regular data packages & combos dial *170# for a choice of both one-time packs and auto-renewal plans. In addition, to explore other limited period one-time data packs dial *135#.",mobilenew,mobile_prepaid
Do I have to activate the One-time Data Packs every time they expire? ,"Yes, the one-time packs can be purchased as many times as you wish whenever needed. They can be purchased in addition to your exiting daily or monthly data plans. At the end of the validity period the packs will be expired and you would have to repurchase them again.",mobilenew,mobile_prepaid
What happens in case of the Auto-renewal Data Plans? ,The auto-renewal plans do not need to be subscribed again and are renewed automatically at the end of the assigned validity.,mobilenew,mobile_prepaid
Can I Deactivate these Packs & Plans? ,"For the one-time packs there is no need to deactivate since you have already paid for the data allowance. Once validity expires the pack will be automatically removed from your prepaid line.,The auto-renewal plans can be deactivated from the USSD Menu *170#.",mobilenew,mobile_prepaid
Can I purchase multiple Data Packs or Plans of the same category at the same time? ,"Yes, you can purchase multiple one-time packs of the same category at the same time - each pack will have its own allowance and validity period.,Multiple subscription to auto-renewal plans will reset the renewal date, while both allowances will be available for usage.",mobilenew,mobile_prepaid
What happens if I don't use all my data allowance within the validity period?,Any remaining MBs will automatically expired and won't be carried over.,mobilenew,mobile_prepaid
How can I monitor my remaining balance? ,"You can keep track of your data usage using the below three options:
,
- Via SMS: SMS 'DATA' to 1010
,
- Via USSD: Dial *170#
,
- Via Etisalat UAE Mobile App,You will also be notified via SMS in the following cases:
,
- On consuming 80%, 90%, and 100% of data packages",mobilenew,mobile_prepaid
Can I use the Data Packs and Plans on my BlackBerry? ,If you have a BB10 operating system and above you can enjoy any of the data packs and plans. Older BB operating system customers would not be able to benefit from these.,mobilenew,mobile_prepaid
What happens if I don't have enough balance in my account?,"- First time subscription: You will have to recharge your wasel prepaid account within 7 days, and the package will be activated automatically.
,
- Auto-Renewal: You will have a grace period of 10 days to recharge your account in order to continue enjoying the plan, after which the plan will be removed from your account. Once removed and you have enough balance, you will have to activate the plan again.",mobilenew,mobile_prepaid
How many data units will I get for my package allowance? ,"Etisalat follows uniform data allowance configuration across its packages, and your data units will be based on the below conversion:
,
1 GB = 1,000 MB; 1 MB = 1,000 KB; 1 KB = 1,024 Bytes",mobilenew,mobile_prepaid
"How my data units will be consumed for package, and pay-as-you-go usage? ","When consuming data from a data package, your allowance will be deducted on the basis of 30 KB increments, whereas for pay-as-you-go data usage without any package, you will be rated on a 1 KB pulse.",mobilenew,mobile_prepaid
1. What are the data packs and how can I activate them?,"* Note: all data packs mention above are one time.
,
Social Chat Includes - Facebook, Messenger, WhatsApp , Twitter, LinkedIn, BOTIM* & C’Me*
,
* Social allowances may be used for messaging, for video and audio calling customer needs to subscribe to Internet Calling Plan (ICP),* Note: Social Data Packs are automatically renewed
,
Social Chat Includes - Facebook, Messenger, WhatsApp , Twitter, LinkedIn, BOTIM* & C’Me*
,
* Social allowances may be used for messaging, for video and audio calling customer needs to subscribe to Internet Calling Plan (ICP)
,
*Prices are subject of 5% VAT",mobilenew,mobile_prepaid
2. What are the BlackBerry data packs and how can I activate them?,,mobilenew,mobile_prepaid
3. How can I check the remaining allowances?,You can Check your remaining allowances by dialing *101# and choose Option 1 - Account Management,mobilenew,mobile_prepaid
Why do I have to register my number?,This is a TRA policy for Consumer mobile customers to avoid the Fraud cases.,mobilenew,mobile_prepaid
How will I know that I have to renew my Registration details?,An SMS will be sent to you telling that the document details to have been expired and you need to renew it.,mobilenew,mobile_prepaid
What will happen if I fail to renew my details?,"You will be given one grace period, after that the line will be TOSSED for a period of time, if you fail to renew the registration during that period then the line will be disconnected.",mobilenew,mobile_prepaid
"Am visiting UAE on a visitor visa, do I have to register my line?",The visitor customers are given a line valid for 90 days only.,mobilenew,mobile_prepaid
How many time do I have to renew my registration?,You need to renew your registration every time your Identification expire.,mobilenew,mobile_prepaid
